File line and function counts

file                                    LOC        CLOC   functions
-------------------------------------------------------------------
src/array                               318         228          13
src/bitset                               66          43           6
src/buffer                             1072         629          44
src/chunk                               401         276          22
src/configfile                         1248         713          14
src/configfile-glue                     526         293           9
src/configparser                       1588         412          18
src/connections                        1769         806          14
src/connections-glue                     42          58           3
src/crc32                                80          11           1
src/data_array                           64          49           6
src/data_config                         137         106           6
src/data_count                           67          52           6
src/data_fastcgi                         68          50           6
src/data_integer                         64          47           6
src/data_string                         103          77           8
src/etag                                 45          34           3
src/fdevent                             200         171          16
src/fdevent_freebsd_kqueue              205           4           1
src/fdevent_linux_rtsig                 250         155           9
src/fdevent_linux_sysepoll              148          99           8
src/fdevent_poll                        168         118           8
src/fdevent_select                      122          92           8
src/fdevent_solaris_devpoll             156           4           1
src/http-header-glue                    349         170           6
src/http_auth                          1184         585           9
src/http_auth_digest                     18           9           1
src/http_chunk                          131          80           5
src/inet_ntop_cache                      48          20           1
src/joblist                              63          43           5
src/keyvalue                            388         196          20
src/lemon                              4395        3147         102
src/lighttpd-angel                      152          84           2
src/log                                 250         141           4
src/md5                                 339         286           7
src/mod_access                          189         114           6
src/mod_accesslog                       876         512           8
src/mod_alias                           202         131           6
src/mod_auth                            613         317           7
src/mod_cgi                            1349         744          19
src/mod_cml                             321         181           8
src/mod_cml_funcs                         0           0           0
src/mod_cml_lua                         466           6           1
src/mod_compress                        707         402          10
src/mod_dirlisting                      908         529          15
src/mod_evasive                         177         100           6
src/mod_evhost                          331         202           8
src/mod_expire                          368         217           7
src/mod_extforward                      476         244          14
src/mod_fastcgi                        3849        2124          43
src/mod_flv_streaming                   277         172           7
src/mod_indexfile                       218         126           6
src/mod_magnet                          849           3           1
src/mod_magnet_cache                      0           0           0
src/mod_mysql_vhost                     436           5           1
src/mod_proxy                          1324         762          21
src/mod_redirect                        282         161           6
src/mod_rewrite                         457         269          13
src/mod_rrdtool                         448         278           9
src/mod_scgi                           3084        1568          39
src/mod_secure_download                 304         172           7
src/mod_setenv                          246         154           9
src/mod_simple_vhost                    280         171           7
src/mod_ssi                            1091         592          11
src/mod_ssi_expr                        323         203           5
src/mod_ssi_exprparser                  949         318          14
src/mod_staticfile                      528         297           7
src/mod_status                          854         524          17
src/mod_trigger_b4_dl                   585         176           6
src/mod_userdir                         293         173           6
src/mod_usertrack                       269         154           6
src/mod_webdav                         2475         939          18
src/network                             671         299           6
src/network_freebsd_sendfile              0           0           0
src/network_linux_sendfile              246         110           1
src/network_openssl                       0           0           0
src/network_solaris_sendfilev             0           0           0
src/network_write                       161          71           1
src/network_writev                      341         141           1
src/plugin                              451         631          20
src/proc_open                           390         201          13
src/request                            1170         668           5
src/response                            654         278           2
src/server                             1487         652           8
src/spawn-fcgi                          434         256           4
src/splaytree                           205         115           4
src/stat_cache                          746         177           9
src/status_counter                       58          35           4
src/stream                              105          22           2
-------------------------------------------------------------------
total                                 49747       25984         852

Distribution of lvalue hosts
