Primary Proof Obligations
c files                          stmt     local       api  contract      open  violated     total
-------------------------------------------------------------------------------------------------
src/array                         960       737       329        67       501         0      2594
src/bitset                        257        74        43        16        13         0       403
src/buffer                       1505      1519       414        66       605         0      4109
src/chunk                         266       654       114        82       429         0      1545
src/configfile                   3615      2564       873       293      1995         0      9340
src/configfile-glue               947       846       377        12       762         0      2944
src/configparser                 2620      1479       734       170      1745         1      6748
src/connections                  1542      2553      1087       126      1843         0      7151
src/connections-glue              102        28         1         0         0         0       131
src/crc32                          20         9         2         0         2         0        33
src/data_array                     44        97        27        26        56         0       250
src/data_config                   370       245        79        47       326         0      1067
src/data_count                     67       104        31        24        36         0       262
src/data_fastcgi                   64        99        27        29        67         0       286
src/data_integer                   63        89        24        24        34         0       234
src/data_string                   123       189        69        27       140         0       548
src/etag                           64        74        19         2        22         0       181
src/fdevent                       643       289       137        34        75         0      1178
src/fdevent_freebsd_kqueue         29         0         0         0         0         0        29
src/fdevent_linux_rtsig           609       426       222        65        92         0      1414
src/fdevent_linux_sysepoll        306       158        52        21        19         0       556
src/fdevent_poll                  489       294       172        49        58         0      1062
src/fdevent_select                401       227        57        12        71         0       768
src/fdevent_solaris_devpoll        29         0         0         0         0         0        29
src/http-header-glue              461       497       117        47       296         0      1418
src/http_auth                    2460      1359       262       118      1256         0      5455
src/http_auth_digest               58        12        10         5         2         0        87
src/http_chunk                    138       159        87         0        23         0       407
src/inet_ntop_cache                71       119        33        29        15         0       267
src/joblist                        98       219       220        16        57         0       610
src/keyvalue                      629       702       273        93       437         0      2134
src/lemon                        8965      7820      2171      1190      6962         1     27108
src/lighttpd-angel                233        25         3         4        23         0       288
src/log                           303       310       230        17       183         5      1043
src/md5                           995       770        79        25       363         0      2232
src/mod_access                    279       223        74        10       315         0       901
src/mod_accesslog                1340      1253       379        84      1954         0      5010
src/mod_alias                     321       263        85        12       518         0      1199
src/mod_auth                     1212       939       146       125      1623         0      4045
src/mod_cgi                      2134      2215       740       145      2370         2      7604
src/mod_cml                       468       451       142        35       531         0      1627
src/mod_compress                 1101      1024       383        65       994         0      3567
src/mod_dirlisting               1826      1459       347       148      1482         1      5262
src/mod_evasive                   245       214        76        10       177         0       722
src/mod_evhost                    486       554       148        38       718         0      1944
src/mod_expire                    615       530       120        66       560        24      1891
src/mod_extforward                601       522       166        28       448         0      1765
src/mod_fastcgi                  6164      6504      2983       489      7548         2     23688
src/mod_flv_streaming             379       356       100        17       430         0      1282
src/mod_indexfile                 345       319       100        22       365         0      1151
src/mod_mysql_vhost                12         8         2         0         0         0        22
src/mod_proxy                    1727      2004       704       121      2137         1      6693
src/mod_redirect                  488       391        92        17       593         0      1581
src/mod_rewrite                   833       712       213        53       815         0      2626
src/mod_rrdtool                   788       704       318        37       829         0      2676
src/mod_scgi                     4420      4600      1859       370      5556         2     16805
